Date,Cum
2018/1/10,0
2018/1/22,-2.262491198
2018/2/3,-1.073998993
2018/2/15,-0.104690944
2018/2/27,-3.616164294
2018/3/11,-7.474067599
2018/3/23,0.919572533
2018/4/4,-9.783064429
2018/4/16,-8.906595878
2018/4/28,-14.69631873
2018/5/10,-10.82629695
2018/5/22,-19.85262521
2018/6/3,-16.80422686
2018/6/15,-23.36352638
2018/6/27,-15.43269272
2018/7/9,-23.52726169
2018/7/21,-30.64029813
2018/8/2,-30.00615948
2018/8/14,-36.61923219
2018/8/26,-33.39990183
2018/9/7,-30.89923706
2018/10/1,-40.68392957
2018/10/13,-45.79555382
2018/10/25,-42.50702745
2018/11/6,-42.5055859
2018/11/18,-44.56948267
2018/11/30,-45.70918974
2018/12/12,-47.20863182
2018/12/24,-48.34285438
2019/1/5,-56.01642368
2019/1/17,-49.68598294
2019/2/10,-53.9504201
2019/2/22,-56.33487115
2019/3/6,-59.04008131
2019/3/18,-55.33116478
2019/3/30,-57.46729335
2019/4/11,-60.09943943
2019/4/23,-65.43458334
2019/5/5,-60.26867103
2019/5/17,-78.36994398
2019/5/29,-63.07528303
2019/6/10,-72.40975698
2019/6/22,-65.4283791
2019/7/4,-84.94198436
2019/7/16,-73.75088329
2019/7/28,-71.60950645
2019/8/21,-85.00472324
2019/9/2,-95.15926418
2019/9/26,-93.63674692
2019/10/8,-85.97351435
2019/10/20,-92.7171045
2019/11/1,-87.33799769
2019/11/13,-90.82189694
2019/11/25,-94.40077936
2019/12/7,-95.66423444
2019/12/19,-94.97330556
2019/12/31,-94.45140752
2020/1/12,-96.90228993
2020/1/24,-100.3064632
2020/2/5,-98.05310225
2020/2/17,-97.05725961
2020/2/29,-99.78913033
2020/3/12,-101.9372411
2020/3/24,-96.30049661
2020/4/5,-105.5542752
2020/4/17,-109.0892492
2020/4/29,-115.9264931
2020/5/11,-110.0484466
2020/5/23,-103.0500383
2020/6/4,-120.8421567
2020/6/16,-106.8544957
2020/6/28,-121.1428142
2020/7/10,-118.2392668
2020/7/22,-112.8337567
2020/8/15,-119.4921049
2020/8/27,-113.6382788
2020/9/8,-118.6302783
2020/9/20,-125.5647489
2020/10/2,-129.2349015
2020/10/14,-127.936795
2020/10/26,-130.4343708
2020/11/7,-125.9273075
2020/11/19,-126.321861
2020/12/1,-125.0738828
2020/12/13,-122.8689553
2020/12/25,-125.9266162
2021/1/6,-127.0355204
2021/1/18,-126.042569
2021/1/30,-130.380859
2021/2/11,-131.1044935
2021/2/23,-124.6450898
2021/3/7,-129.5429142
2021/3/19,-126.8658591
2021/3/31,-127.446555
2021/4/12,-133.3134019
2021/4/24,-133.2921032
2021/5/6,-136.2379994
2021/5/18,-136.4266138
2021/5/30,-154.0219799
2021/6/11,-133.9426965
2021/6/23,-150.4685747
2021/7/17,-147.5167004
2021/7/29,-139.1155492
2021/8/22,-136.2199982
2021/9/3,-142.3239973
2021/9/27,-142.8376429
2021/10/9,-152.7366472
2021/10/21,-152.5460911
2021/11/2,-152.2606016
2021/11/14,-155.1875253
2021/11/26,-155.4312742
2021/12/8,-150.7772718
2021/12/20,-151.741838
2022/1/1,-154.9310405
2022/1/25,-162.445542
2022/2/6,-155.8524661
2022/3/14,-154.1152098
2022/3/26,-158.2189686
2022/4/7,-162.6592794
2022/4/19,-161.8725697
2022/5/1,-165.9385542
2022/5/25,-156.4798266
2022/7/24,-164.3767611
2022/9/10,-178.8481385
2022/10/28,-178.6475297
2022/11/9,-175.004445
2022/11/21,-174.2596255
2022/12/3,-178.735965
2022/12/15,-175.6028588
2022/12/27,-174.2959407
2023/1/8,-176.3516944
2023/1/20,-172.3935121
2023/2/1,-179.4304396
2023/2/13,-179.4118654
2023/2/25,-178.9632613
2023/3/9,-183.4666201
2023/3/21,-172.914132
2023/4/2,-184.1571998
2023/4/14,-189.6252774
2023/4/26,-185.5886387
2023/5/8,-179.1838124
2023/5/20,-177.2906685
2023/6/1,-185.3741813
2023/6/13,-174.2511203
2023/7/31,-196.8859273
2023/8/24,-193.2909556
2023/10/11,-185.2661846
2023/11/4,-190.1430156
2023/11/16,-187.154729
