Date,Cum
2018/1/10,0
2018/1/22,-0.858186402
2018/2/3,-8.650741954
2018/2/15,-16.91404268
2018/2/27,-19.44805667
2018/3/11,-41.56440542
2018/3/23,-34.11863262
2018/4/4,-41.18354435
2018/4/16,-60.36513102
2018/4/28,-56.8231688
2018/5/10,-76.60938439
2018/5/22,-145.6247991
2018/6/3,-102.5528537
2018/6/15,-115.0480751
2018/6/27,-154.2988461
2018/7/9,-110.2675612
2018/7/21,-134.7352123
2018/8/2,-177.0758438
2018/8/14,-151.2302079
2018/8/26,-144.991117
2018/9/7,-150.6393212
2018/10/1,-186.3095012
2018/10/13,-205.2988416
2018/10/25,-214.1831313
2018/11/6,-209.2165482
2018/11/18,-211.7031133
2018/11/30,-219.6036934
2018/12/12,-223.245146
2018/12/24,-228.6988698
2019/1/5,-235.6150675
2019/1/17,-237.9134681
2019/2/10,-253.0089965
2019/2/22,-271.1348327
2019/3/6,-260.4248771
2019/3/18,-262.9548441
2019/3/30,-275.492816
2019/4/11,-272.0777421
2019/4/23,-288.2364216
2019/5/5,-290.679002
2019/5/17,-319.780341
2019/5/29,-294.8844652
2019/6/10,-336.0329881
2019/6/22,-311.3790133
2019/7/4,-340.6399738
2019/7/16,-337.0290328
2019/7/28,-344.6130004
2019/8/21,-374.1914735
2019/9/2,-385.3141362
2019/9/26,-423.9989405
2019/10/8,-418.7622099
2019/10/20,-434.0713959
2019/11/1,-431.6336106
2019/11/13,-428.7536671
2019/11/25,-429.3692625
2019/12/7,-434.4992686
2019/12/19,-439.332052
2019/12/31,-443.2892551
2020/1/12,-444.5692123
2020/1/24,-449.8370269
2020/2/5,-450.4366474
2020/2/17,-454.9578401
2020/2/29,-459.93087
2020/3/12,-468.230031
2020/3/24,-462.3409436
2020/4/5,-472.3994916
2020/4/17,-476.4856383
2020/4/29,-502.9576691
2020/5/11,-494.1151765
2020/5/23,-477.1179596
2020/6/4,-502.1641178
2020/6/16,-495.333185
2020/6/28,-542.5392327
2020/7/10,-529.2792935
2020/7/22,-508.4149909
2020/8/15,-532.2145309
2020/8/27,-544.0954075
2020/9/8,-535.7759238
2020/9/20,-576.2719533
2020/10/2,-568.3081301
2020/10/14,-579.0731235
2020/10/26,-586.6966324
2020/11/7,-593.7241184
2020/11/19,-587.046623
2020/12/1,-589.6544463
2020/12/13,-594.7793017
2020/12/25,-599.3265212
2021/1/6,-601.6169491
2021/1/18,-613.4698964
2021/1/30,-623.229961
2021/2/11,-629.5561804
2021/2/23,-624.0039715
2021/3/7,-631.8674229
2021/3/19,-628.4364193
2021/3/31,-655.5779018
2021/4/12,-646.6753938
2021/4/24,-637.8811483
2021/5/6,-637.9321662
2021/5/18,-680.3985094
2021/5/30,-700.9718704
2021/6/11,-663.1659272
2021/6/23,-703.6879978
2021/7/17,-676.693635
2021/7/29,-685.4965078
2021/8/22,-716.8116585
2021/9/3,-680.8062302
2021/9/27,-685.1524983
2021/10/9,-725.0364845
2021/10/21,-727.4561883
2021/11/2,-736.3300063
2021/11/14,-739.3382763
2021/11/26,-741.8842654
2021/12/8,-739.4290054
2021/12/20,-745.1901236
2022/1/1,-755.4004391
2022/1/25,-767.2005801
2022/2/6,-772.2806127
2022/3/14,-767.9118483
2022/3/26,-788.5780386
2022/4/7,-792.0577785
2022/4/19,-784.595563
2022/5/1,-807.8800127
2022/5/25,-802.894915
2022/7/24,-833.9820406
2022/9/10,-849.9925723
2022/10/28,-849.5948162
2022/11/9,-855.230612
2022/11/21,-849.1982537
2022/12/3,-851.6985316
2022/12/15,-856.1367584
2022/12/27,-860.2370373
2023/1/8,-867.7589979
2023/1/20,-857.5833628
2023/2/1,-870.3931702
2023/2/13,-875.0134442
2023/2/25,-878.5622978
2023/3/9,-880.1256858
2023/3/21,-881.9662343
2023/4/2,-890.7844866
2023/4/14,-896.2735646
2023/4/26,-888.6819791
2023/5/8,-895.5235297
2023/5/20,-896.7522123
2023/6/1,-914.9860401
2023/6/13,-891.5095523
2023/7/31,-916.4577924
2023/8/24,-950.0879047
2023/10/11,-915.106152
2023/11/4,-946.7338571
2023/11/16,-937.9226993
