Date,interpolated_Cum
2018-01-10,-7.983469156774006e-25
2018-01-25,-1.637441957203608
2018-02-09,-12.782392317000003
2018-02-24,-19.19465527099883
2018-03-11,-41.56440542
2018-03-26,-34.82512379300327
2018-04-10,-50.774337685
2018-04-25,-57.17736502200164
2018-05-10,-76.60938439
2018-05-25,-141.31760455998005
2018-06-09,-108.80046440000001
2018-06-24,-150.37376899998182
2018-07-09,-110.2675612
2018-07-24,-138.96927545001964
2018-08-08,-164.15302585
2018-08-23,-145.61502609000289
2018-09-07,-150.6393212
2018-09-22,-176.86739472940462
2018-10-07,-195.80417139999997
2018-10-22,-213.29470232999589
2018-11-06,-209.2165482
2018-11-21,-212.49317131000367
2018-12-06,-221.4244197
2018-12-21,-228.1534974199975
2019-01-05,-235.6150675
2019-01-20,-237.82506807692258
2019-02-04,-251.49944365999653
2019-02-19,-269.3222490799916
2019-03-06,-260.4248771
2019-03-21,-264.20864129000586
2019-04-05,-273.78527905
2019-04-20,-286.62055364999253
2019-05-05,-290.679002
2019-05-20,-317.29075341998845
2019-06-04,-315.45872665
2019-06-19,-313.84441078001146
2019-07-04,-340.6399738
2019-07-19,-337.7874295600035
2019-08-03,-343.85460363999823
2019-08-18,-374.6192682192333
2019-09-02,-385.3141362
2019-09-17,-413.7588452441099
2019-10-02,-421.3805752
2019-10-17,-432.540477299993
2019-11-01,-431.6336106
2019-11-16,-428.8152266400003
2019-12-01,-431.93426554999996
2019-12-16,-438.84877365999773
2019-12-31,-443.2892551
2020-01-15,-445.0959937600025
2020-01-30,-450.13683715
2020-02-14,-454.5057208299979
2020-02-29,-459.93087
2020-03-15,-467.64112225999725
2020-03-30,-467.3702176
2020-04-14,-476.0770236299981
2020-04-29,-502.9576691
2020-05-14,-492.4154548099922
2020-05-29,-489.6410387
2020-06-13,-496.01627828000323
2020-06-28,-542.5392327
2020-07-13,-527.1928632399903
2020-07-28,-510.79494490000553
2020-08-12,-532.6714876923105
2020-08-27,-544.0954075
2020-09-11,-539.8255267500188
2020-09-26,-572.2900417
2020-10-11,-577.9966241599949
2020-10-26,-586.6966324
2020-11-10,-593.0563688599968
2020-11-25,-588.35053465
2020-12-10,-594.2668161599977
2020-12-25,-599.3265212
2021-01-09,-602.8022438300055
2021-01-24,-618.3499287
2021-02-08,-628.9235584599971
2021-02-23,-624.0039715
2021-03-10,-631.5243225399984
2021-03-25,-642.00716055
2021-04-09,-647.5656446000041
2021-04-24,-637.8811483
2021-05-09,-642.1788005200196
2021-05-24,-690.6851899000001
2021-06-08,-666.9465215200175
2021-06-23,-703.6879978
2021-07-08,-683.8392016235348
2021-07-23,-681.0950714
2021-08-07,-693.7858123970651
2021-08-22,-716.8116585
2021-09-06,-682.1910543653928
2021-09-21,-684.7178714899991
2021-10-06,-721.0480858799816
2021-10-21,-727.4561883
2021-11-05,-736.6308333000014
2021-11-20,-740.61127085
2021-12-05,-739.6745314000012
2021-12-20,-745.1901236
2022-01-04,-755.00773465769
2022-01-19,-767.7085833600013
2022-02-03,-771.7726094399976
2022-02-18,-771.2646061799992
2022-03-05,-771.1186709327626
2022-03-20,-778.2449434499999
2022-04-04,-791.7098045099984
2022-04-19,-784.595563
2022-05-04,-806.9844569423025
2022-05-19,-803.3934247700012
2022-06-03,-803.2400371484622
2022-06-18,-812.4601844153866
2022-07-03,-826.9945674146761
2022-07-18,-834.1772909865861
2022-08-02,-834.7915618657319
2022-08-17,-841.9873064500001
2022-09-01,-849.1830510342681
2022-09-16,-849.9846171779999
2022-10-01,-849.8426488469231
2022-10-16,-850.7219753600009
2022-10-31,-850.1583957800025
2022-11-15,-852.21443285
2022-11-30,-851.4485038099989
2022-12-15,-856.1367584
2022-12-30,-860.9892333600036
2023-01-14,-862.67118035
2023-01-29,-869.112189459994
2023-02-13,-875.0134442
2023-02-28,-878.7186366000008
2023-03-15,-881.0459600500001
2023-03-30,-889.9026613699959
2023-04-14,-896.2735646
2023-04-29,-889.3661341600033
2023-05-14,-896.137871
2023-05-29,-913.1626573199915
2023-06-13,-891.5095523
2023-06-28,-897.0464598000028
2023-07-13,-909.8538464911741
2023-07-28,-916.8679157207346
2023-08-12,-933.27284855
2023-08-27,-949.6777813792655
2023-09-11,-940.8280289852908
2023-09-26,-921.0961781472644
2023-10-11,-915.106152
2023-10-26,-938.3618175146995
2023-11-10,-942.3282782
